Sentiment	Prediction
-0.387	+0.218
-0.406	+0.198
+0.415	-0.151
+0.000	+0.233
+0.357	-0.149
+0.356	-0.226
-0.329	+0.214
-0.602	+0.253
+0.000	+0.291
-0.093	+0.040
+0.146	-0.087
-0.142	+0.069
-0.562	+0.215
-0.265	+0.129
-0.086	+0.188
-0.130	+0.258
-0.524	+0.144
+0.334	+0.010
-0.308	+0.223
+0.000	+0.291
-0.193	+0.230
-0.401	+0.230
-0.336	+0.229
-0.229	-0.009
-0.295	+0.229
-0.403	+0.230
-0.319	+0.260
-0.261	+0.024
+0.623	+0.006
+0.399	-0.168
-0.105	+0.021
-0.324	+0.213
-0.086	+0.188
-0.188	+0.214
-0.182	+0.230
-0.378	+0.241
-0.554	+0.198
-0.030	+0.053
-0.086	+0.188
-0.213	+0.252
+0.198	-0.169
+0.165	-0.167
-0.331	+0.030
-0.336	+0.202
+0.000	+0.026
-0.307	+0.018
+0.000	+0.065
-0.093	+0.040
-0.230	+0.129
+0.279	-0.046
-0.283	+0.229
-0.307	+0.018
-0.376	+0.214
+0.132	-0.168
-0.380	+0.244
-0.211	+0.202
+0.294	-0.172
-0.085	+0.130
-0.247	+0.199
+0.272	-0.171
-0.331	+0.030
+0.235	-0.123
-0.355	+0.036
+0.226	-0.087
+0.000	-0.043
-0.362	+0.226
-0.493	+0.216
-0.494	+0.224
+0.000	+0.035
-0.335	+0.033
-0.375	+0.237
-0.219	+0.221
-0.312	+0.197
-0.285	+0.246
+0.095	-0.172
-0.460	+0.195
+0.538	-0.207
-0.354	+0.281
-0.122	+0.222
-0.524	+0.231
-0.426	+0.021
-0.441	+0.148
+0.240	-0.170
-0.541	+0.029
-0.494	+0.059
-0.299	+0.501
-0.341	+0.238
-0.596	+0.069
+0.361	-0.192
-0.482	+0.054
+0.000	-0.235
+0.418	-0.175
-0.369	+0.166
+0.000	+0.032
-0.105	+0.026
-0.274	+0.297
+0.394	-0.017
+0.000	+0.102
+0.198	-0.095
-0.488	+0.469
+0.058	-0.148
+0.269	-0.168
+0.224	-0.151
+0.000	+0.197
-0.453	+0.126
+0.000	+0.033
-0.370	+0.022
-0.524	+0.231
-0.002	+0.023
-0.319	+0.211
-0.131	+0.234
-0.391	+0.435
